typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,8,ALB,Albania,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,0,0,0,0,52851848,52851848,0,1,0
C,A,20160101,2016,52,2016,12,DZA,Algeria,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,0,0,0,0,29399483,29399483,0,1,0
C,A,20160101,2016,52,2016,20,AND,Andorra,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,0,0,0,0,24279728.1,24279728.1,0,0,1
C,A,20160101,2016,52,2016,24,AGO,Angola,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,1,0,0,0,33903803.93,33903803.93,0,0,1
C,A,20160101,2016,52,2016,28,ATG,Antigua and Barbuda,X,Export,0,W00,World,0,W00,World,H3,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,0,0,0,0,1350037,1350037,0,1,0
C,A,20160101,2016,52,2016,31,AZE,Azerbaijan,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,1,0,0,0,11754615.36,11754615.36,4,0,1
C,A,20160101,2016,52,2016,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,1,0,0,0,199775893.7,199775893.7,0,0,1
C,A,20160101,2016,52,2016,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,0,0,0,0,2672952564,2672952564,0,1,0
C,A,20160101,2016,52,2016,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,1,0,0,0,15155335213,15155335213,0,0,1
C,A,20160101,2016,52,2016,44,BHS,Bahamas,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,1,0,0,0,13528153,13528153,4,0,1
C,A,20160101,2016,52,2016,48,BHR,Bahrain,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,1,0,0,0,255858239.8,255858239.8,0,0,1
C,A,20160101,2016,52,2016,51,ARM,Armenia,X,Export,0,W00,World,0,W00,World,H4,HS,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,0,C00,TOTAL CPC,0,0,TOTAL MOT,-1,0,0,0,-1,0,0,0,0,0,0,0,0,13348433,13348433,0,1,0
